;EventTime;Origin;Destination
0;2021.1264700000002;UNKNOWN;Guinea
1;2021.6326600000002;Guinea;North Macedonia
2;2021.4728900000002;Guinea;Oman
3;2021.54499;Oman;Bangladesh
4;2021.5696400000002;Oman;Malta
5;2021.6326600000002;Oman;Greece
6;2021.6408700000002;Guinea;Bangladesh
7;2021.58335;Guinea;Egypt
8;2021.5367700000002;Guinea;Burundi
9;2021.5943100000002;Guinea;Nepal
10;2021.53951;Guinea;Senegal
11;2021.6381400000002;Guinea;Dominican Republic
12;2021.40207;Guinea;Morocco
13;2021.5833400000001;Morocco;Philippines
14;2021.5641600000001;Morocco;Ukraine
15;2021.27653;Guinea;Seychelles
16;2021.5175800000002;Seychelles;Montenegro
17;2021.6737500000002;Seychelles;Tunisia
18;2021.5806000000002;Seychelles;Qatar
19;2021.5367700000002;Seychelles;USA
20;2021.5559500000002;Seychelles;France
21;2021.4285900000002;Seychelles;Nigeria
22;2021.5669000000003;Seychelles;Haiti
23;2021.4355500000001;Seychelles;Belarus
24;2021.6737600000001;Belarus;Nigeria
25;2021.64361;Seychelles;Kuwait
26;2021.4522100000002;Seychelles;Maldives
27;2021.4787300000003;Seychelles;Luxembourg
28;2021.6271700000002;Luxembourg;Kuwait
29;2021.4614400000003;Seychelles;Argentina
30;2021.57786;Argentina;Serbia
31;2021.6600500000002;Argentina;USA
32;2021.6025100000002;Argentina;Czech Republic
33;2021.6463500000002;Argentina;Poland
34;2021.5477200000003;Argentina;Vietnam
35;2021.6600500000002;Vietnam;Venezuela
36;2021.48844;Argentina;Vietnam
37;2021.6217000000001;Vietnam;Guyana
38;2021.6381300000003;Vietnam;Belize
39;2021.5888100000002;Vietnam;Colombia
40;2021.6600400000002;Colombia;Ecuador
41;2021.6162100000001;Seychelles;Oman
42;2021.5340200000003;Seychelles;Bangladesh
43;2021.5559400000002;Seychelles;Algeria
44;2021.6353900000001;Seychelles;Nigeria
45;2021.6326500000002;Seychelles;Sweden
46;2021.50509;Seychelles;Czech Republic
47;2021.66278;Czech Republic;Ukraine
48;2021.5230500000002;Czech Republic;Morocco
49;2021.52301;Czech Republic;Uruguay
50;2021.5508700000003;Uruguay;Ethiopia
51;2021.5888000000002;Ethiopia;Indonesia
52;2021.6299000000001;Indonesia;Kuwait
53;2021.6737400000002;Kuwait;Maldives
54;2021.5696400000002;Seychelles;Kazakhstan
55;2021.5559400000002;Seychelles;Finland
56;2021.5340200000003;Seychelles;Hong Kong
57;2021.6490900000001;Seychelles;Netherlands
58;2021.6381300000003;Seychelles;Hungary
59;2021.5860800000003;Seychelles;Liechtenstein
60;2021.5477200000003;Seychelles;Nepal
61;2021.5806000000002;Seychelles;Ghana
62;2021.6518300000002;Seychelles;Saudi Arabia
63;2021.5669000000003;Seychelles;New Zealand
64;2021.5833400000001;Seychelles;Qatar
65;2021.59156;Seychelles;Niger
66;2021.5559400000002;Seychelles;Equatorial Guinea
67;2021.5860800000003;Seychelles;Singapore
68;2021.5806000000002;Seychelles;Bulgaria
69;2021.5833400000001;Seychelles;Kazakhstan
70;2021.5285500000002;Seychelles;Moldova
71;2021.6518300000002;Seychelles;Brunei
72;2021.6381300000003;Seychelles;Colombia
73;2021.6792300000002;Seychelles;Mauritius
74;2021.59704;Seychelles;Cameroon
75;2021.59705;Seychelles;Bulgaria
76;2021.5367700000002;Seychelles;Suriname
77;2021.5367700000002;Seychelles;Ethiopia
78;2021.5997900000002;Seychelles;Luxembourg
79;2021.5367700000002;Seychelles;Hungary
80;2021.6682700000001;Seychelles;United Kingdom
81;2021.61623;Seychelles;Liechtenstein
82;2021.545;Seychelles;Uganda
83;2021.5477400000002;Seychelles;India
84;2021.5751400000001;India;Singapore
85;2021.6244500000003;Seychelles;Pakistan
86;2021.55869;Seychelles;Netherlands
87;2021.6326700000002;Seychelles;Kazakhstan
88;2021.5915700000003;Seychelles;Iran
89;2021.6628000000003;Seychelles;Cambodia
90;2021.6710200000002;Seychelles;Norway
91;2021.6244500000003;Seychelles;Finland
92;2021.63541;Seychelles;Croatia
93;2021.6381500000002;Seychelles;Pakistan
94;2021.6436300000003;Seychelles;Togo
95;2021.6518400000002;Seychelles;Lebanon
96;2021.6628000000003;Seychelles;Estonia
97;2021.6655400000002;Seychelles;Kosovo
98;2021.6655400000002;Seychelles;Estonia
99;2021.68198;Seychelles;Kosovo
100;2021.5367700000002;Seychelles;Jamaica
101;2021.53293;Seychelles;Dominican Republic
102;2021.5356700000002;Dominican Republic;Georgia
103;2021.5367700000002;Georgia;Bosnia and Herzegovina
104;2021.5420500000002;Georgia;Rwanda
105;2021.5504700000001;Rwanda;Gambia
106;2021.5504600000002;Rwanda;Tunisia
107;2021.5778800000003;Tunisia;Hungary
108;2021.57607;Tunisia;Niger
109;2021.5832900000003;Niger;Finland
110;2021.5942000000002;Finland;Albania
111;2021.6078900000002;Albania;Iran
112;2021.6270900000002;Iran;Kazakhstan
113;2021.6435900000001;Kazakhstan;Jamaica
114;2021.6573200000003;Jamaica;Norway
115;2021.6792400000002;Norway;Pakistan
116;2021.5148500000003;Seychelles;Portugal
117;2021.5422500000002;Seychelles;Estonia
118;2021.6436200000003;Seychelles;Finland
119;2021.6765000000003;Seychelles;Monaco
120;2021.5148500000003;Seychelles;USA
121;2021.6354000000001;Seychelles;Hungary
122;2021.55869;Seychelles;Gambia
123;2021.5312900000001;Seychelles;Curacao
124;2021.66828;Curacao;Aruba
125;2021.6244400000003;Seychelles;Madagascar
126;2021.5559500000002;Seychelles;Kyrgyzstan
127;2021.4139400000001;Seychelles;Bahrain
128;2021.545;Bahrain;Slovakia
129;2021.46728;Seychelles;Germany
130;2021.54499;Germany;Croatia
131;2021.5477300000002;Seychelles;Cambodia
132;2021.56417;Seychelles;Guinea
133;2021.56417;Seychelles;Togo
134;2021.4396400000003;Seychelles;Liechtenstein
135;2021.53951;Liechtenstein;North Macedonia
136;2021.6217000000001;Seychelles;Slovakia
137;2021.6765000000003;Seychelles;Bahrain
138;2021.4924100000003;Seychelles;Nepal
139;2021.3965000000003;Seychelles;Oman
140;2021.5148500000003;Oman;Saudi Arabia
141;2021.6025200000001;Oman;Ukraine
142;2021.4205200000001;Seychelles;Malaysia
143;2021.5175900000002;Malaysia;Saudi Arabia
144;2021.6189600000002;Malaysia;Iraq
145;2021.5153900000003;Malaysia;Lithuania
146;2021.5312900000001;Malaysia;Philippines
147;2021.5292200000001;Malaysia;Saudi Arabia
148;2021.6792400000002;Saudi Arabia;Bahrain
149;2021.51824;Malaysia;Brunei
150;2021.5477300000002;Malaysia;Mauritius
151;2021.6381400000002;Malaysia;Egypt
152;2021.6408800000002;Malaysia;Croatia
153;2021.6436200000003;Malaysia;Jordan
154;2021.59156;Malaysia;Georgia
155;2021.6710100000003;Georgia;Bulgaria
156;2021.6354000000001;Malaysia;Iraq
157;2021.6052600000003;Malaysia;Serbia
158;2021.6682700000001;Serbia;Georgia
159;2021.6436200000003;Malaysia;Hong Kong
160;2021.6518300000002;Malaysia;Bonaire
161;2021.5669100000002;Malaysia;Philippines
162;2021.61622;Malaysia;Ireland
163;2021.6354000000001;Malaysia;Indonesia
164;2021.3628200000003;Seychelles;Syria
165;2021.5860900000002;Syria;El Salvador
166;2021.6381400000002;Syria;Senegal
167;2021.4737400000001;Syria;Saudi Arabia
168;2021.5943000000002;Saudi Arabia;Russia
169;2021.5230700000002;Saudi Arabia;Philippines
170;2021.6463600000002;Saudi Arabia;Kuwait
171;2021.6408700000002;Syria;India
172;2021.6408800000002;Syria;Belarus
173;2021.52581;Syria;Panama
174;2021.6134800000002;Panama;Ecuador
175;2021.4362200000003;Syria;Paraguay
176;2021.5641600000001;Paraguay;El Salvador
177;2021.5083700000002;Paraguay;Honduras
178;2021.6490900000001;Paraguay;Slovakia
179;2021.3955500000002;Syria;Guinea
180;2021.5230700000002;Guinea;Turkey
181;2021.5285500000002;Guinea;Thailand
182;2021.4802100000002;Guinea;Mali
183;2021.5751300000002;Mali;Cabo Verde
184;2021.5222800000001;Guinea;Israel
185;2021.6271800000002;Israel;Haiti
186;2021.52581;Guinea;Bolivia
187;2021.4907200000002;Guinea;Germany
188;2021.6381400000002;Germany;Senegal
189;2021.6326600000002;Germany;Syria
190;2021.4500900000003;Seychelles;Sri Lanka
