;EventTime;Origin;Destination
0;2021.9026800000001;UNKNOWN;Austria
1;2022.8469200000002;Austria;Russia
2;2022.0593900000001;Austria;Kazakhstan
3;2022.6962300000002;Austria;Brazil
4;2022.8660900000002;Austria;Turkey
5;2022.3146500000003;Austria;Argentina
6;2022.5208800000003;Argentina;Spain
7;2022.6120600000002;Argentina;Paraguay
8;2022.5377700000001;Austria;Nigeria
9;2022.7893800000002;Nigeria;Curacao
10;2022.8880100000001;Curacao;Saint Vincent and the Grenadines
11;2022.89623;Curacao;Jamaica
12;2022.5124300000002;Austria;Chile
13;2022.6523900000002;Chile;Togo
14;2022.8880100000001;Chile;USA
15;2022.8277300000002;Chile;USA
16;2022.4591500000001;Austria;Sweden
17;2022.6523900000002;Sweden;New Zealand
18;2022.67432;Sweden;Dominican Republic
19;2022.7208900000003;Sweden;Belgium
20;2022.8140400000002;Sweden;Thailand
21;2022.6085600000001;Austria;Nigeria
22;2022.8140400000002;Nigeria;Dominican Republic
23;2022.8332200000002;Austria;Guinea
24;2022.8003400000002;Austria;Guinea
25;2022.8250000000003;Guinea;Finland
26;2022.9072;Austria;Peru
27;2022.8852800000002;Austria;Poland
28;2022.7893800000002;Austria;Russia
29;2022.55571;Austria;Japan
30;2022.81129;Japan;Canada
31;2022.6414200000002;Austria;Netherlands
32;2022.8688200000001;Netherlands;Philippines
33;2022.5788900000002;Austria;France
34;2022.6415800000002;Austria;Denmark
35;2022.6838200000002;Denmark;United Kingdom
36;2022.7154000000003;United Kingdom;Spain
37;2022.63595;Austria;Nigeria
38;2022.70718;Austria;South Korea
39;2022.4873700000003;Austria;USA
40;2022.8660900000002;USA;Mexico
41;2022.8852600000002;USA;Trinidad and Tobago
42;2022.8003300000003;USA;Aruba
43;2022.70718;Austria;New Zealand
44;2022.8715600000003;Austria;Uganda
45;2022.6606000000002;Austria;Slovakia
46;2022.4983600000003;Austria;Pakistan
47;2022.84965;Pakistan;Israel
48;2022.8578700000003;Pakistan;South Korea
49;2022.4721800000002;Austria;Spain
50;2022.8030600000002;Spain;Russia
51;2022.6551200000001;Spain;France
52;2022.8688100000002;Austria;Hungary
53;2022.7373100000002;Austria;United Kingdom
54;2022.4831600000002;Austria;Sweden
55;2022.6832200000001;Sweden;Canada
56;2022.49348;Austria;Cameroon
57;2022.66334;Austria;Cameroon
58;2022.52608;Austria;Russia
59;2022.90992;Russia;India
60;2022.5701400000003;Austria;Russia
61;2022.8469000000002;Russia;Morocco
62;2022.69836;Russia;Singapore
63;2022.8852600000002;Singapore;Greece
64;2022.8743000000002;Singapore;Lebanon
65;2022.4962200000002;Austria;Brunei
66;2022.7126600000001;Brunei;Turkey
67;2022.7455300000001;Brunei;Qatar
68;2022.8058;Brunei;Qatar
69;2022.8688200000001;Brunei;Lithuania
70;2022.6397100000002;Austria;Italy
71;2022.8551200000002;Italy;Venezuela
72;2022.5936400000003;Austria;Greece
73;2022.78662;Greece;Switzerland
74;2022.7345800000003;Austria;Croatia
75;2022.48717;Austria;New Zealand
76;2022.80032;New Zealand;Netherlands
77;2022.6907300000003;New Zealand;Canada
78;2022.9044400000002;New Zealand;Sweden
79;2022.7701900000002;New Zealand;Angola
80;2022.8469000000002;New Zealand;Algeria
81;2022.8606100000002;New Zealand;Lebanon
82;2022.62208;New Zealand;South Korea
83;2022.69349;South Korea;Latvia
84;2022.8222600000001;Latvia;Ecuador
85;2022.6469100000002;New Zealand;Denmark
86;2022.72636;New Zealand;Australia
87;2022.8140400000002;New Zealand;Kenya
88;2022.8989800000002;New Zealand;Japan
89;2022.7346000000002;New Zealand;Singapore
90;2022.6805900000002;New Zealand;Hong Kong
91;2022.9072;Hong Kong;Netherlands
92;2022.8907700000002;New Zealand;Australia
93;2022.89351;New Zealand;Bulgaria
94;2022.7044700000001;New Zealand;Seychelles
95;2022.7729600000002;New Zealand;Denmark
96;2022.7773600000003;New Zealand;Czech Republic
97;2022.7416300000002;New Zealand;Andorra
98;2022.9099500000002;Andorra;Austria
99;2022.8113200000003;New Zealand;Czech Republic
100;2022.69899;New Zealand;Cyprus
101;2022.75105;New Zealand;Thailand
102;2022.7620100000001;New Zealand;Estonia
103;2022.7757100000001;New Zealand;Algeria
104;2022.7866700000002;New Zealand;Kuwait
105;2022.7948900000001;New Zealand;Qatar
106;2022.6414700000003;New Zealand;United Kingdom
107;2022.64695;New Zealand;South Korea
108;2022.6579100000001;New Zealand;Ireland
109;2022.84695;New Zealand;Austria
110;2022.8716000000002;New Zealand;Thailand
111;2022.7318800000003;New Zealand;Netherlands
112;2022.7317300000002;New Zealand;Qatar
113;2022.75654;Qatar;Australia
114;2022.8633900000002;Australia;Egypt
115;2022.7229100000002;Austria;Slovakia
116;2022.8167600000002;Slovakia;Croatia
117;2022.8688200000001;Slovakia;Germany
118;2022.6916300000003;Austria;Dominican Republic
119;2022.8167600000002;Austria;Mexico
120;2022.9016900000001;Austria;Romania
121;2022.6717800000001;Austria;Poland
122;2022.8140200000003;Poland;Mexico
123;2022.6504300000001;Austria;Greece
124;2022.8660700000003;Greece;Australia
125;2022.77249;Austria;Aruba
126;2022.9044300000003;Austria;France
127;2022.8551100000002;Austria;Georgia
128;2022.7433200000003;Austria;Ecuador
129;2022.8085300000002;Ecuador;Denmark
130;2022.8167500000002;Ecuador;Curacao
131;2022.8167600000002;Austria;Israel
132;2022.7701800000002;Austria;USA
133;2022.7236000000003;Austria;Italy
134;2022.7427800000003;Italy;South Korea
135;2022.8106000000002;Italy;Liechtenstein
136;2022.9071600000002;Liechtenstein;Moldova
137;2022.7006500000002;Austria;Thailand
138;2022.71538;Thailand;Netherlands
139;2022.9071600000002;Thailand;Eswatini
140;2022.8140100000003;Thailand;Malaysia
141;2022.5354700000003;Austria;Portugal
142;2022.6463700000002;Portugal;Dominican Republic
143;2022.8764700000002;Dominican Republic;Bonaire
144;2022.9099;Bonaire;Curacao
145;2022.6658800000002;Portugal;Denmark
146;2022.8962000000001;Denmark;Egypt
147;2022.88524;Denmark;Colombia
148;2022.8934600000002;Portugal;Moldova
149;2022.8852500000003;Portugal;Switzerland
150;2022.81949;Portugal;New Zealand
151;2022.71538;Portugal;Japan
152;2022.67703;Austria;Ireland
153;2022.7564800000002;Austria;Nigeria
154;2022.6925400000002;Austria;Denmark
155;2022.8879900000002;Denmark;Slovenia
156;2022.90991;Denmark;Liechtenstein
157;2022.8112800000001;Austria;Cyprus
158;2022.89621;Austria;Palau
159;2022.72186;Austria;Palau
160;2022.8742900000002;Palau;Micronesia
161;2022.7701800000002;Austria;Hungary
162;2022.7365800000002;Austria;Spain
163;2022.7893500000002;Austria;Denmark
164;2022.8249700000001;Austria;Slovenia
165;2022.6318400000002;Austria;Turkey
166;2022.7400400000001;Turkey;Netherlands
167;2022.8195;Turkey;Andorra
168;2022.6578500000003;Turkey;Sweden
169;2022.7128200000002;Turkey;Colombia
170;2022.7811400000003;Colombia;South Africa
171;2022.7312000000002;Turkey;Colombia
172;2022.8545600000002;Turkey;Honduras
173;2022.8195;Turkey;Slovakia
174;2022.8879900000002;Turkey;Trinidad and Tobago
175;2022.7893700000002;Turkey;Croatia
176;2022.7632400000002;Turkey;Hungary
177;2022.9071700000002;Hungary;Sweden
178;2022.9044300000003;Hungary;Poland
179;2022.7783900000002;Austria;India
180;2022.6670800000002;Austria;Tunisia
181;2022.7099;Austria;Ireland
182;2022.8030500000002;Ireland;United Kingdom
183;2022.6359200000002;Austria;Kosovo
184;2022.4683000000002;Austria;Germany
185;2022.8249600000001;Germany;Canada
186;2022.8438300000003;Germany;Switzerland
187;2022.9071600000002;Switzerland;Liechtenstein
188;2022.85236;Germany;USA
189;2022.6551000000002;Germany;France
190;2022.6799700000001;Germany;Costa Rica
191;2022.8770200000001;Costa Rica;El Salvador
192;2022.6989500000002;Germany;Denmark
193;2022.7756600000002;Germany;Bulgaria
194;2022.83867;Germany;Venezuela
195;2022.75374;Germany;Romania
196;2022.85785;Germany;Netherlands
197;2022.6399000000001;Germany;Chile
198;2022.7218200000002;Chile;Slovenia
199;2022.8660700000003;Slovenia;Saint Lucia
200;2022.77204;Chile;Romania
201;2022.8770200000001;Germany;Finland
202;2022.8989400000003;Germany;Hong Kong
203;2022.6989400000002;Germany;Guinea
204;2022.85785;Germany;Dominican Republic
205;2022.6825000000001;Germany;Indonesia
206;2022.7181200000002;Germany;Hong Kong
207;2022.8468900000003;Germany;Turkey
208;2022.85785;Germany;Serbia
209;2022.8167500000002;Germany;Italy
210;2022.7427800000003;Germany;Iceland
211;2022.8085300000002;Germany;Cameroon
212;2022.5986000000003;Germany;Canada
213;2022.8852500000003;Canada;Aruba
214;2022.8825100000001;Canada;New Zealand
215;2022.76195;Germany;Estonia
216;2022.8879800000002;Germany;Denmark
217;2022.85785;Germany;Liechtenstein
218;2022.73456;Germany;Singapore
219;2022.6800400000002;Germany;Netherlands
220;2022.8496200000002;Germany;Lithuania
221;2022.7537300000001;Germany;Chile
222;2022.8934700000002;Germany;Switzerland
223;2022.7893500000002;Germany;Liechtenstein
224;2022.66216;Germany;Mongolia
225;2022.7318200000002;Mongolia;Turkey
226;2022.9099;Turkey;Mongolia
227;2022.8852600000002;Mongolia;Singapore
228;2022.90442;Mongolia;Austria
229;2022.8167500000002;Germany;Croatia
230;2022.77292;Germany;Italy
231;2022.6551000000002;Germany;Ireland
232;2022.6682700000001;Germany;Iceland
233;2022.8551000000002;Germany;Indonesia
234;2022.87154;Germany;Curacao
235;2022.6291600000002;Germany;Finland
236;2022.73456;Finland;Croatia
237;2022.65784;Finland;Denmark
238;2022.6605800000002;Finland;Israel
239;2022.7862200000002;Finland;Egypt
240;2022.9071500000002;Egypt;China
241;2022.8396100000002;Finland;Bahrain
242;2022.9044000000001;Bahrain;Singapore
243;2022.8742900000002;Germany;New Zealand
244;2022.6359300000001;Germany;Cameroon
245;2022.6605900000002;Germany;Netherlands
246;2022.8085300000002;Germany;Russia
