;EventTime;Origin;Destination
0;2020.54354;UNKNOWN;India
1;2021.4757599999998;India;Bangladesh
2;2021.1913299999999;India;United Arab Emirates
3;2021.3387799999998;United Arab Emirates;Vietnam
4;2021.11744;India;Russia
5;2021.30529;Russia;Finland
6;2021.64562;Finland;Sweden
7;2021.4123399999999;India;Mexico
8;2021.6757499999999;Mexico;Denmark
9;2021.57712;Mexico;USA
10;2021.36152;India;Turkey
11;2021.5925399999999;Turkey;Japan
12;2021.4033;India;Austria
13;2021.66754;Austria;Sweden
14;2021.5990499999998;Austria;Denmark
15;2021.68672;Austria;Netherlands
16;2021.3374099999999;India;Guyana
17;2021.6182299999998;Guyana;Trinidad and Tobago
18;2021.64311;Guyana;Trinidad and Tobago
19;2021.43462;Guyana;Sint Maarten
20;2021.11635;India;Turkey
21;2021.34973;Turkey;Nepal
22;2021.25576;Turkey;Italy
23;2021.3387699999998;Turkey;Israel
24;2021.33603;Turkey;Australia
25;2021.3332899999998;Turkey;Netherlands
26;2021.23018;Turkey;Finland
27;2021.3963099999999;Finland;Ethiopia
28;2021.27667;Turkey;Mexico
29;2021.3579399999999;Mexico;USA
30;2021.62096;Mexico;Argentina
31;2021.1634999999999;Turkey;India
32;2021.68124;India;Bahrain
33;2021.71686;India;United Arab Emirates
34;2021.34973;India;Portugal
35;2021.3187699999999;India;Malaysia
36;2021.60178;Malaysia;Indonesia
37;2021.5716499999999;Malaysia;Indonesia
38;2021.7278199999998;Turkey;Poland
39;2021.48671;Turkey;Netherlands
40;2021.5908299999999;Netherlands;Bulgaria
41;2021.5524699999999;Turkey;Sweden
42;2021.6291899999999;Turkey;Denmark
43;2021.57713;Turkey;Germany
44;2021.5661699999998;Turkey;Portugal
45;2021.5990499999998;Turkey;Israel
46;2021.6785;Turkey;Belgium
47;2021.3716499999998;India;Netherlands
48;2021.3387799999998;India;Israel
49;2021.35195;India;Sweden
50;2021.3387699999998;India;Ireland
51;2021.35521;India;South Korea
52;2021.2253699999999;India;Bahrain
53;2021.31763;Bahrain;Finland
54;2021.62917;Finland;Poland
55;2021.51145;Finland;Netherlands
56;2021.65265;Netherlands;Sweden
57;2021.3366099999998;India;Pakistan
58;2021.299;India;Switzerland
59;2021.44014;Switzerland;Portugal
60;2021.3526499999998;Switzerland;Italy
61;2021.5277999999998;Italy;Belgium
62;2021.53054;Italy;Switzerland
63;2021.36891;India;Japan
64;2021.3305599999999;India;France
65;2021.2933799999998;India;United Kingdom
66;2021.33604;India;Qatar
67;2021.25238;India;South Africa
68;2021.347;South Africa;Australia
69;2021.35248;South Africa;Switzerland
70;2021.38536;South Africa;Germany
71;2021.25783;India;Singapore
72;2021.3524599999998;Singapore;Norway
73;2021.73877;Singapore;India
74;2021.5602199999998;Singapore;Pakistan
75;2021.29268;India;Netherlands
76;2021.4236999999998;Netherlands;Poland
77;2021.48397;Netherlands;Poland
78;2021.5332999999998;Netherlands;Curacao
79;2021.5407699999998;Netherlands;Norway
80;2021.67403;Norway;Netherlands
81;2021.06249;India;USA
82;2021.40727;USA;United Arab Emirates
83;2021.57713;USA;Japan
84;2021.7743899999998;USA;Mexico
85;2021.39358;USA;Germany
86;2021.42021;USA;Ethiopia
87;2021.43193;USA;United Kingdom
88;2021.32682;USA;Canada
89;2021.1931;USA;Austria
90;2021.31224;Austria;Germany
91;2021.7606899999998;Germany;France
92;2021.5853499999998;Germany;Finland
93;2021.56892;Germany;Iran
94;2021.45659;Austria;Turkey
95;2021.52803;Turkey;Austria
96;2021.57591;Austria;Switzerland
97;2021.28758;Austria;Turkey
98;2021.5908399999998;Turkey;Ethiopia
99;2021.3607;Turkey;Saudi Arabia
100;2021.32092;Austria;Oman
101;2021.45064;Oman;France
102;2021.64563;France;Belgium
103;2021.4291999999998;Austria;Qatar
104;2021.34701;Austria;Australia
105;2021.45112;Australia;Nepal
106;2021.36457;Austria;Nepal
107;2021.49039;Nepal;Israel
108;2021.3543399999999;Austria;Japan
109;2021.5524699999999;USA;Rwanda
110;2021.5661699999998;USA;Jamaica
111;2021.2339499999998;USA;Rwanda
112;2021.4757499999998;Rwanda;Germany
113;2021.52507;Rwanda;Belgium
114;2021.48397;Rwanda;Ghana
115;2021.49219;Rwanda;Italy
116;2021.5278099999998;Rwanda;Ghana
117;2021.4922;Rwanda;France
118;2021.55521;USA;Jamaica
119;2021.73603;USA;United Kingdom
120;2021.5086299999998;USA;Sint Maarten
121;2021.53993;USA;Czech Republic
122;2021.60726;USA;Colombia
123;2021.4576;USA;Slovakia
124;2021.62643;Slovakia;Peru
125;2021.61;USA;The Bahamas
126;2021.6647899999998;USA;Peru
127;2021.60726;USA;Colombia
128;2021.69219;USA;Colombia
129;2021.45434;USA;Brazil
130;2021.5798599999998;Brazil;Switzerland
131;2021.65383;Brazil;Chile
132;2021.71136;USA;Colombia
133;2021.62917;USA;Portugal
134;2021.68122;USA;Argentina
135;2021.6593;USA;Chile
136;2021.59356;USA;Argentina
137;2021.73329;USA;Peru
138;2021.75246;USA;Colombia
139;2021.62096;USA;Ecuador
140;2021.5425599999999;USA;Chile
141;2021.7168399999998;Chile;Colombia
142;2021.44032;USA;Colombia
143;2021.57164;Colombia;Iceland
144;2021.64562;Colombia;Germany
145;2021.53353;Colombia;Dominican Republic
146;2021.61276;Dominican Republic;Aruba
147;2021.5524699999999;USA;Argentina
148;2021.62097;USA;Chile
149;2021.5661699999998;USA;Israel
150;2021.53603;USA;Switzerland
151;2021.5524599999999;USA;Jamaica
152;2021.56341;USA;Colombia
153;2021.5932;USA;Croatia
154;2021.67573;USA;Hong Kong
155;2021.5743699999998;USA;Croatia
156;2021.6456099999998;USA;Canada
157;2021.60725;USA;Jamaica
158;2021.59629;USA;Jamaica
159;2021.5701;USA;Iceland
160;2021.62095;Iceland;Australia
161;2021.52506;USA;Guatemala
162;2021.6236999999999;USA;Canada
163;2021.68123;Canada;Venezuela
164;2021.5431999999998;USA;Jamaica
165;2021.5779;USA;Estonia
166;2021.3442599999998;India;Bangladesh
167;2021.27279;India;Germany
168;2021.45518;Germany;Croatia
169;2021.24435;India;Sweden
170;2021.3853399999998;India;Bahrain
171;2021.35415;India;Romania
172;2021.2306899999999;India;Nepal
173;2021.3442599999998;Nepal;Australia
174;2021.23965;India;Bangladesh
175;2021.5716499999999;Bangladesh;Bahrain
176;2021.1613699999998;India;Singapore
177;2021.5641799999999;Singapore;Laos
178;2021.3906499999998;Singapore;South Korea
179;2021.5332899999999;South Korea;Japan
180;2021.5278099999998;South Korea;Singapore
181;2021.53056;South Korea;Papua New Guinea
182;2021.50316;South Korea;Philippines
183;2021.5058999999999;South Korea;Chile
184;2021.45659;India;Albania
185;2021.3744;India;Nepal
186;2021.53624;India;Bangladesh
187;2021.3305599999999;India;Singapore
188;2021.32837;India;United Arab Emirates
189;2021.0557999999999;India;Bangladesh
190;2021.3305599999999;Bangladesh;Netherlands
191;2021.34557;Bangladesh;United Arab Emirates
192;2021.3689299999999;Bangladesh;USA
193;2021.3305699999999;Bangladesh;India
194;2021.52305;Bangladesh;Poland
195;2021.33879;Bangladesh;South Korea
196;2021.37441;Bangladesh;Denmark
197;2021.2458399999998;Bangladesh;Japan
198;2021.35564;Japan;Pakistan
199;2021.35523;Bangladesh;Denmark
200;2021.3799;Bangladesh;Nepal
201;2021.51414;Bangladesh;Norway
202;2021.5689399999999;Bangladesh;India
203;2021.3497399999999;Bangladesh;South Africa
204;2021.23426;Bangladesh;Indonesia
205;2021.50316;Bangladesh;Sweden
206;2021.53056;Bangladesh;South Korea
207;2021.3771299999999;Bangladesh;Germany
208;2021.44563;Bangladesh;Australia
209;2021.3607;Bangladesh;Ghana
210;2021.5436599999998;Bangladesh;Ethiopia
211;2021.4231399999999;India;Japan
212;2021.1817899999999;India;Poland
213;2021.42096;India;Nepal
214;2021.34873;India;Bangladesh
215;2021.47991;India;United Arab Emirates
216;2021.4620599999998;India;Bahrain
217;2021.3387699999998;India;Portugal
218;2021.3442499999999;India;Qatar
219;2021.3771199999999;India;Nepal
220;2021.2584;India;Uzbekistan
221;2021.4922;Uzbekistan;South Korea
222;2021.5058999999999;Uzbekistan;South Korea
223;2021.6428799999999;Uzbekistan;Switzerland
224;2021.5763299999999;Uzbekistan;Czech Republic
225;2021.68398;Czech Republic;Germany
226;2021.44956;Uzbekistan;Italy
227;2021.6785;Italy;Portugal
228;2021.64562;Uzbekistan;Croatia
229;2021.57987;Uzbekistan;South Korea
230;2021.73877;Uzbekistan;Turkey
231;2021.61274;Uzbekistan;Russia
232;2021.55795;Uzbekistan;Czech Republic
233;2021.5207899999998;Uzbekistan;Bulgaria
234;2021.34699;India;Greece
235;2021.3387699999998;India;Bhutan
236;2021.42645;India;Zambia
237;2021.36891;India;Singapore
238;2021.71686;India;United Kingdom
239;2021.44562;India;Australia
240;2021.4785;India;Uganda
241;2021.54152;India;China
242;2021.3771299999999;India;Cyprus
243;2021.23815;India;Japan
244;2021.3317499999998;India;Mozambique
245;2021.30953;India;Singapore
246;2021.0930799999999;India;Ireland
247;2021.2321499999998;Ireland;United Arab Emirates
248;2021.38535;United Arab Emirates;Switzerland
249;2021.48946;Ireland;Germany
250;2021.54425;Ireland;Finland
251;2021.19752;Ireland;Belgium
252;2021.33603;Belgium;Denmark
253;2021.19733;India;Pakistan
254;2021.49768;Pakistan;Australia
255;2021.6648;Pakistan;United Kingdom
256;2021.5744;India;Guinea
257;2021.7606999999998;India;Kenya
258;2021.09097;India;Bahrain
259;2021.35521;Bahrain;Romania
260;2021.2716899999998;Bahrain;Finland
261;2021.39904;Finland;Switzerland
262;2021.17553;Bahrain;Finland
263;2021.13638;India;South Korea
264;2021.3826099999999;South Korea;Liberia
265;2021.2219699999998;India;Togo
266;2021.53056;Togo;Ghana
267;2021.57713;Togo;Ghana
268;2021.5195999999999;Togo;Ghana
269;2021.53056;Togo;United Arab Emirates
270;2021.51687;Togo;Benin
271;2021.68672;Togo;Ghana
272;2021.72507;Togo;Ghana
273;2021.1136199999999;India;Mongolia
274;2021.70316;Mongolia;Australia
275;2021.7552099999998;Mongolia;South Korea
276;2021.70316;Mongolia;South Korea
277;2021.6812499999999;Mongolia;Japan
278;2021.70591;Mongolia;Japan
279;2021.7689;Mongolia;Japan
280;2021.21501;India;Slovakia
281;2021.38439;Slovakia;Norway
282;2021.33603;India;Hong Kong
283;2021.51137;India;United Arab Emirates
284;2021.4812299999999;India;Bahrain
285;2021.3332899999998;India;Mongolia
286;2021.41548;India;Pakistan
287;2021.37439;India;Nepal
288;2021.0933499999999;India;Germany
289;2021.5141099999998;Germany;Kyrgyzstan
290;2021.43192;Germany;Denmark
291;2021.3332899999998;Germany;Mongolia
292;2021.34151;Germany;South Africa
293;2021.21706;Germany;Israel
294;2021.33602;Germany;Denmark
295;2021.3199599999998;Germany;Mozambique
296;2021.45658;Germany;Australia
297;2021.15041;Germany;Australia
298;2021.51137;Australia;Pakistan
299;2021.16691;Australia;Romania
300;2021.3332799999998;Romania;Malaysia
301;2021.4045199999998;Romania;Maldives
302;2021.5853399999999;Romania;Iran
303;2021.62096;Romania;Russia
304;2021.3332899999998;Romania;Qatar
305;2021.28702;Romania;Austria
306;2021.57438;Austria;Ethiopia
307;2021.34151;Romania;India
308;2021.3920899999998;Romania;Norway
309;2021.3524699999998;Romania;Nepal
310;2021.3632499999999;Romania;South Africa
311;2021.3634299999999;Romania;Ireland
312;2021.37439;Romania;Sweden
313;2021.51686;Romania;Kuwait
314;2021.69769;Romania;Nepal
315;2021.3387799999998;Romania;China
316;2021.44015;Romania;Uganda
317;2021.4812499999998;Romania;Ghana
318;2021.47851;Romania;United Arab Emirates
319;2021.3881;Romania;Norway
320;2021.3333;Romania;Qatar
321;2021.3333;Romania;Kosovo
322;2021.3442599999998;Romania;Bangladesh
323;2021.67851;Romania;Oman
324;2021.61276;Romania;Bangladesh
325;2021.29712;Romania;China
326;2021.35988;China;Singapore
327;2021.38555;China;Myanmar
328;2021.3452499999999;China;Myanmar
329;2021.41548;China;Myanmar
330;2021.54972;China;Japan
331;2021.60999;China;Myanmar
332;2021.46487;China;Australia
333;2021.6127299999998;China;Japan
334;2021.42345;China;Singapore
335;2021.5183;Singapore;South Korea
336;2021.7141;Singapore;China
337;2021.5651799999998;Singapore;China
338;2021.3387699999998;India;Switzerland
339;2021.3387699999998;India;Portugal
340;2021.2702299999999;India;Portugal
341;2021.4950199999998;Portugal;United Arab Emirates
342;2021.13589;India;Portugal
343;2021.3634299999999;Portugal;Switzerland
344;2021.72507;Portugal;Cameroon
345;2021.49219;Portugal;Canada
346;2021.68672;India;Sweden
347;2021.23424;India;Philippines
348;2021.12016;India;France
349;2021.3421799999999;France;Israel
350;2021.34151;India;Portugal
351;2021.73329;India;Qatar
352;2021.2298099999998;India;Nepal
353;2021.34973;Nepal;Qatar
354;2021.35521;Nepal;Qatar
355;2021.45658;India;Nepal
356;2021.3089499999999;India;Russia
357;2021.5004199999998;Russia;Austria
358;2021.62918;Russia;Kazakhstan
359;2021.61097;Russia;United Arab Emirates
360;2021.5329199999999;Russia;Kazakhstan
361;2021.30467;India;Pakistan
362;2021.6236999999999;Pakistan;Myanmar
363;2021.27378;India;South Korea
364;2021.4785;South Korea;Denmark
365;2021.3728099999998;India;Switzerland
366;2021.25739;India;Angola
367;2021.34088;Angola;Portugal
368;2021.48398;India;Australia
369;2021.56891;India;Iran
370;2021.49768;India;Israel
371;2021.4286599999998;India;Turkey
372;2021.56892;Turkey;Sweden
373;2021.5539299999998;India;Russia
374;2021.37798;India;Czech Republic
375;2021.51138;Czech Republic;Latvia
376;2021.2502399999998;India;Singapore
377;2021.48946;India;Bosnia and Herzegovina
378;2021.31819;India;Turkey
379;2021.52092;Turkey;Switzerland
380;2021.31578;India;Kenya
381;2021.08089;India;Portugal
382;2021.41822;Portugal;Israel
383;2021.41822;Portugal;Israel
384;2021.1244;Portugal;Pakistan
385;2021.4894499999998;Pakistan;Australia
386;2021.34699;Pakistan;Germany
387;2021.3311899999999;Pakistan;Bahrain
388;2021.4374;Pakistan;Iran
389;2021.48671;Pakistan;Switzerland
390;2021.4291899999998;Pakistan;Denmark
391;2021.6127299999998;Denmark;Sweden
392;2021.60725;Denmark;Sweden
