;EventTime;Origin;Destination
0;2019.2108099999998;UNKNOWN;USA
1;2020.20086;USA;Australia
2;2020.9082299999998;Australia;Israel
3;2020.8945299999998;Australia;Fiji
4;2020.9794599999998;Australia;India
5;2020.9027499999997;Australia;Fiji
6;2020.9219299999997;Australia;India
7;2019.67511;USA;Morocco
8;2019.7728499999998;USA;South Africa
9;2019.83632;South Africa;Argentina
10;2019.8609099999999;USA;Mali
11;2019.8527199999999;USA;New Zealand
12;2019.6669299999999;USA;Australia
13;2019.5822099999998;USA;China
14;2019.5822099999998;USA;China
15;2019.5712499999997;USA;China
16;2019.5832299999997;USA;Australia
17;2019.6532599999998;Australia;USA
18;2019.86638;Australia;Mali
19;2019.6423399999999;Australia;USA
20;2019.5261199999998;USA;France
21;2019.65053;France;Australia
22;2019.6450599999998;France;USA
23;2019.6396099999997;France;Italy
24;2019.67052;Italy;Brazil
25;2019.7734799999998;Italy;Chile
26;2019.63611;France;Australia
27;2019.6641899999997;Australia;France
28;2019.5471199999997;France;China
29;2019.5813899999998;China;USA
30;2019.6751;USA;Australia
31;2020.11773;USA;Papua New Guinea
32;2019.7761999999998;USA;Curacao
33;2019.6397699999998;USA;Australia
34;2019.66106;Australia;USA
35;2019.7270299999998;USA;Australia
36;2019.7270199999998;USA;Australia
37;2019.7269999999999;USA;United Kingdom
38;2019.74615;USA;Australia
39;2019.7423999999999;USA;Peru
40;2019.79534;Peru;Senegal
41;2020.0221199999999;Senegal;Peru
42;2019.6204699999998;USA;China
43;2019.6204699999998;China;Thailand
44;2019.6532499999998;China;Thailand
45;2019.6532499999998;Thailand;Taiwan
46;2019.65872;China;USA
47;2019.6641799999998;China;Finland
48;2019.7898699999998;China;Chile
49;2019.70564;China;Australia
50;2019.8335899999997;Australia;Colombia
51;2019.8226699999998;Australia;New Zealand
52;2019.6680299999998;China;United Kingdom
53;2019.68331;United Kingdom;South Korea
54;2019.6887699999997;United Kingdom;China
55;2019.6913799999998;United Kingdom;France
56;2019.6913399999999;France;China
57;2019.8581699999997;China;Brazil
58;2019.7488799999999;China;United Kingdom
59;2019.7534799999999;China;USA
60;2019.7652699999999;USA;South Africa
61;2019.7843999999998;USA;United Kingdom
62;2019.7925899999998;USA;China
63;2019.7925899999998;USA;Indonesia
64;2019.7925899999998;USA;China
65;2019.79532;USA;Malaysia
66;2019.79533;USA;South Korea
67;2019.81172;USA;Germany
68;2019.81172;Germany;Malaysia
69;2019.8226499999998;USA;China
70;2019.8417699999998;USA;India
71;2019.8472399999998;USA;Italy
72;2019.8499699999998;USA;Israel
73;2019.8842499999998;USA;United Arab Emirates
74;2020.0931399999997;United Arab Emirates;Egypt
75;2019.9455999999998;United Arab Emirates;Bangladesh
76;2020.12593;United Arab Emirates;Egypt
77;2020.15872;United Arab Emirates;Egypt
78;2020.13413;United Arab Emirates;Egypt
79;2020.0466999999999;United Arab Emirates;Morocco
80;2020.18564;Morocco;India
81;2020.2085499999998;India;USA
82;2020.3214099999998;USA;Latvia
83;2020.5303099999999;Latvia;Pakistan
84;2020.5959099999998;Pakistan;Finland
85;2020.5808499999998;Pakistan;Senegal
86;2020.6150999999998;Senegal;Finland
87;2020.6205699999998;Senegal;USA
88;2020.6784899999998;Senegal;Nigeria
89;2019.7890999999997;USA;Egypt
90;2019.9373999999998;Egypt;Peru
91;2020.2215599999997;Peru;New Zealand
92;2020.0924899999998;Peru;South Africa
93;2019.9641599999998;Egypt;Australia
94;2020.0084399999998;Australia;Egypt
95;2019.63315;USA;Brazil
96;2019.7434199999998;Brazil;Nigeria
97;2020.4758499999998;Brazil;Australia
98;2019.7356699999998;Brazil;India
99;2020.2652699999999;India;Australia
100;2020.21609;India;United Kingdom
101;2020.0357599999998;India;Senegal
102;2019.8800299999998;India;Japan
103;2020.0029799999998;India;United Kingdom
104;2019.81173;Brazil;Australia
105;2020.0521599999997;Brazil;Australia
106;2020.1705699999998;Brazil;Chile
107;2020.0034699999999;Brazil;Australia
108;2020.1641799999998;Brazil;Switzerland
109;2020.1450599999998;Brazil;Russia
110;2019.8253899999997;Brazil;Spain
111;2020.09315;Brazil;Madagascar
112;2019.80343;Brazil;United Kingdom
113;2020.0658199999998;United Kingdom;Germany
114;2020.0494299999998;United Kingdom;Australia
115;2020.1559899999997;United Kingdom;South Africa
116;2020.21969;United Kingdom;Switzerland
117;2020.44834;United Kingdom;Brazil
118;2020.2650199999998;United Kingdom;South Africa
