;EventTime;Origin;Destination
0;2020.26214;UNKNOWN;Turkey
1;2020.72503;Turkey;Australia
2;2021.04257;Australia;Austria
3;2021.14668;Austria;Australia
4;2021.06449;Australia;Peru
5;2021.13299;Australia;New Zealand
6;2021.02608;Australia;Chile
7;2021.2398500000002;Chile;Papua New Guinea
8;2021.2672400000001;Turkey;Ghana
9;2021.08916;Turkey;Iceland
10;2021.3056000000001;Turkey;Bahrain
11;2021.13848;Turkey;Iran
12;2020.9393200000002;Turkey;Kuwait
13;2021.23162;Kuwait;Egypt
14;2020.71191;Turkey;Romania
15;2021.0973900000001;Romania;Cameroon
16;2021.0590300000001;Romania;Australia
17;2021.31383;Romania;France
18;2021.2563;Romania;Ireland
19;2021.21794;Romania;Mexico
20;2021.2289;Romania;Uganda
21;2021.2261600000002;Romania;Brazil
22;2021.28369;Romania;Costa Rica
23;2021.26999;Romania;Lithuania
24;2021.0289;Romania;Albania
25;2021.4617700000001;Romania;Bulgaria
26;2021.0836000000002;Romania;Luxembourg
27;2021.43712;Luxembourg;Russia
28;2021.00541;Romania;Curacao
29;2021.36574;Romania;Cabo Verde
30;2020.94764;Romania;Switzerland
31;2021.0453400000001;Switzerland;United Kingdom
32;2021.0886600000001;Romania;Suriname
33;2021.33574;Romania;Qatar
34;2021.0152;Romania;Slovakia
35;2020.94151;Romania;Jamaica
36;2021.2206800000001;Jamaica;United Kingdom
37;2021.09465;Romania;Togo
38;2021.3384800000001;Romania;Luxembourg
39;2021.4480700000001;Romania;Argentina
40;2021.28095;Romania;Guinea
41;2021.42342;Romania;Senegal
42;2021.42342;Romania;Malta
43;2021.45082;Romania;United Kingdom
44;2021.05356;Romania;Russia
45;2021.04808;Romania;Oman
46;2021.13389;Romania;Malaysia
47;2020.83114;Romania;Kyrgyzstan
48;2021.01692;Kyrgyzstan;Iceland
49;2021.30835;Iceland;Moldova
50;2021.4535500000002;Iceland;Ecuador
51;2021.35219;Kyrgyzstan;North Macedonia
52;2020.94994;Romania;Maldives
53;2021.37136;Romania;Brazil
54;2021.41246;Romania;Pakistan
55;2021.3056000000001;Romania;Senegal
56;2021.24492;Romania;Guinea
57;2020.958;Romania;Sweden
58;2021.3878;Sweden;Liechtenstein
59;2021.1823200000001;Sweden;Iraq
60;2021.0837000000001;Romania;Spain
61;2021.07274;Romania;Ireland
62;2021.37137;Romania;Poland
63;2021.1575400000002;Romania;Poland
64;2021.2206800000001;Poland;Trinidad and Tobago
65;2021.2782100000002;Romania;France
66;2020.9322300000001;Romania;Hong Kong
67;2021.42341;Hong Kong;Kosovo
68;2021.28917;Hong Kong;Germany
69;2021.3823200000002;Hong Kong;USA
70;2021.2054400000002;Hong Kong;Poland
71;2021.39875;Poland;Belgium
72;2021.35772;Hong Kong;Myanmar
73;2021.2398500000002;Romania;Russia
74;2020.9312400000001;Romania;Jamaica
75;2021.3631400000002;Romania;Italy
76;2021.31382;Romania;Togo
77;2021.0165900000002;Romania;Sweden
78;2021.1056;Sweden;Oman
79;2021.1823200000001;Romania;Georgia
80;2021.4015000000002;Romania;United Kingdom
81;2021.0838800000001;Romania;Djibouti
82;2021.15767;Djibouti;Somalia
83;2021.15767;Djibouti;Somalia
84;2021.15767;Djibouti;Somalia
85;2021.15767;Djibouti;Somalia
86;2021.15766;Djibouti;Somalia
87;2021.17136;Djibouti;Somalia
88;2020.88983;Romania;South Africa
89;2021.4015100000001;South Africa;Malawi
90;2021.35767;South Africa;Bahrain
91;2021.43712;South Africa;Eswatini
92;2021.4535600000002;South Africa;Eswatini
93;2021.30014;South Africa;Mozambique
94;2021.43711;South Africa;Eswatini
95;2021.4151900000002;South Africa;Eswatini
96;2020.86948;Romania;Latvia
97;2021.1549300000001;Latvia;USA
98;2020.91671;Latvia;Angola
99;2021.1220500000002;Angola;Zambia
100;2020.9641800000002;Romania;Italy
101;2021.32753;Italy;Ghana
102;2021.17958;Italy;Bulgaria
103;2020.81482;Romania;Portugal
104;2021.2974000000002;Portugal;France
105;2021.13301;Portugal;Poland
106;2021.18506;Portugal;North Macedonia
107;2020.96901;Portugal;Ethiopia
108;2021.10561;Ethiopia;Brazil
109;2021.09191;Ethiopia;Monaco
110;2021.36588;Ethiopia;Botswana
111;2021.26725;Ethiopia;Bahrain
112;2021.39328;Ethiopia;Canada
113;2021.3631400000002;Portugal;Cabo Verde
114;2021.38231;Portugal;Cabo Verde
115;2021.33849;Portugal;Senegal
116;2021.37411;Portugal;Oman
117;2021.0610800000002;Portugal;Angola
118;2020.91677;Romania;Palestine
119;2021.4480700000001;Palestine;Ukraine
120;2020.82859;Romania;Spain
121;2020.98639;Spain;Brazil
122;2021.13027;Brazil;India
123;2020.92391;Spain;Serbia
124;2021.13849;Serbia;Bosnia and Herzegovina
125;2021.42342;Serbia;Montenegro
126;2021.32753;Serbia;Slovenia
127;2021.3439700000001;Serbia;Kosovo
128;2020.88501;Spain;Israel
129;2021.06726;Israel;Sri Lanka
130;2021.30288;Israel;Saudi Arabia
131;2020.98223;Israel;Palestine
132;2021.33302;Palestine;Vietnam
133;2021.28918;Palestine;Poland
134;2021.25356;Palestine;Israel
135;2021.46453;Palestine;Morocco
136;2021.19106;Palestine;Netherlands
137;2021.3385;Netherlands;Estonia
138;2021.25356;Netherlands;Malaysia
139;2021.23713;Israel;Turkey
140;2021.2100500000001;Israel;Canada
141;2021.42617;Israel;Belgium
142;2021.20151;Israel;Ukraine
143;2021.4152000000001;Israel;Belgium
144;2021.42342;Israel;Luxembourg
145;2021.16589;Israel;Belgium
146;2021.2206800000001;Israel;USA
147;2021.26726;Israel;Canada
148;2021.0974;Israel;Palestine
149;2021.35768;Israel;Belgium
150;2021.31384;Israel;Afghanistan
151;2021.39877;Israel;Czech Republic
152;2021.2015000000001;Romania;France
153;2021.07274;Romania;Guadeloupe
154;2021.03712;Romania;United Kingdom
155;2020.9977800000001;Romania;Portugal
156;2020.9142000000002;Romania;Denmark
157;2021.2206800000001;Denmark;Germany
158;2020.96479;Romania;Brazil
159;2021.11109;Brazil;Turkey
160;2021.10561;Romania;Pakistan
161;2021.4672600000001;Romania;Italy
162;2021.09465;Romania;Norway
163;2020.94112;Romania;New Zealand
164;2021.30835;New Zealand;Saint Lucia
165;2021.43164;Romania;Austria
166;2021.21246;Romania;Thailand
167;2021.29466;Romania;Fiji
168;2020.97776;Romania;Belgium
169;2020.9985000000001;Romania;Mongolia
170;2021.19602;Romania;Oman
171;2021.12479;Romania;Luxembourg
