;EventTime;Origin;Destination
0;2021.69785;UNKNOWN;Cameroon
1;2022.2982;Cameroon;Kenya
2;2021.8227100000001;Cameroon;Indonesia
3;2022.01874;Indonesia;Nigeria
4;2022.6762800000001;Indonesia;Israel
5;2022.03334;Indonesia;Israel
6;2022.2023100000001;Israel;Georgia
7;2022.1886100000002;Indonesia;Peru
8;2021.89748;Indonesia;Myanmar
9;2022.10642;Myanmar;Philippines
10;2021.9327700000001;Myanmar;Philippines
11;2022.28997;Philippines;Uruguay
12;2022.32558;Philippines;Venezuela
13;2022.30367;Philippines;Antigua and Barbuda
14;2022.58312;Antigua and Barbuda;USA
15;2021.88213;Indonesia;Papua New Guinea
16;2022.22646;Papua New Guinea;Solomon Islands
17;2022.4434;Solomon Islands;Kiribati
18;2022.07628;Papua New Guinea;Taiwan
19;2022.22697;Papua New Guinea;Solomon Islands
20;2022.05711;Papua New Guinea;Australia
21;2022.13382;Indonesia;Saudi Arabia
22;2022.0875800000001;Indonesia;Canada
23;2022.59409;Canada;Venezuela
24;2021.9741900000001;Indonesia;Austria
25;2022.52559;Austria;Canada
26;2022.2434;Austria;Ghana
27;2021.93288;Indonesia;Hong Kong
28;2022.4680600000002;Hong Kong;Thailand
29;2022.04837;Hong Kong;Costa Rica
30;2022.08897;Hong Kong;Taiwan
31;2022.50641;Taiwan;Laos
32;2022.4488800000001;Taiwan;Cambodia
33;2022.6050400000001;Taiwan;China
34;2022.24341;Cameroon;Luxembourg
35;2022.25163;Cameroon;Malaysia
36;2022.36944;Cameroon;Bulgaria
37;2022.34752;Cameroon;Mauritius
38;2021.94516;Cameroon;Botswana
39;2022.32561;Cameroon;Nepal
40;2021.98862;Cameroon;Eswatini
41;2021.9621200000001;Cameroon;Kazakhstan
42;2022.07629;Kazakhstan;Slovakia
43;2022.14478;Kazakhstan;Slovenia
44;2021.90487;Cameroon;Bulgaria
45;2022.4160200000001;Bulgaria;Montenegro
46;2022.58588;Bulgaria;United Kingdom
47;2022.0213;Cameroon;Latvia
48;2021.9158300000001;Cameroon;Iran
49;2022.06258;Iran;Russia
50;2021.87617;Cameroon;Estonia
51;2022.2132900000001;Estonia;Finland
52;2022.18315;Estonia;Finland
53;2022.3502700000001;Finland;USA
54;2021.84664;Cameroon;Italy
55;2022.1365600000001;Italy;Thailand
56;2022.0982000000001;Italy;Romania
57;2021.92947;Italy;Croatia
58;2022.0461500000001;Croatia;Czech Republic
59;2022.04889;Croatia;Kosovo
60;2021.99171;Italy;Austria
61;2022.25163;Austria;Slovenia
62;2022.06806;Austria;Liechtenstein
63;2022.01242;Italy;North Macedonia
64;2022.2543600000001;North Macedonia;Andorra
65;2022.20228;North Macedonia;France
66;2022.50367;France;Thailand
67;2022.23244;North Macedonia;Jamaica
68;2021.81373;Cameroon;Tunisia
69;2022.0078;Tunisia;Brazil
70;2022.09599;Tunisia;Suriname
71;2022.01196;Tunisia;Suriname
72;2022.24891;Suriname;Russia
73;2022.43247;Suriname;Haiti
74;2022.25599;Suriname;Tunisia
75;2022.13659;Suriname;Singapore
76;2022.5804;Cameroon;Netherlands
77;2022.09763;Cameroon;Belize
78;2022.36944;Cameroon;Panama
79;2022.23519;Cameroon;Oman
80;2022.51191;Cameroon;Australia
81;2022.60232;Cameroon;Thailand
82;2022.02979;Cameroon;Estonia
83;2022.22423;Estonia;Colombia
84;2022.1476400000001;Estonia;Switzerland
85;2022.51738;Switzerland;Liechtenstein
86;2022.54204;Estonia;Egypt
87;2022.18811;Estonia;Uruguay
88;2022.40505;Uruguay;Grenada
89;2022.66258;Uruguay;Belgium
90;2022.37569;Uruguay;Japan
91;2022.07728;Cameroon;Egypt
92;2022.47355;Egypt;Saint Lucia
93;2021.8757600000001;Cameroon;Saudi Arabia
94;2022.24889;Saudi Arabia;Malaysia
95;2022.08177;Saudi Arabia;Panama
96;2021.99372;Saudi Arabia;Taiwan
97;2022.28725;Taiwan;Saint Lucia
98;2022.41053;Taiwan;Guatemala
99;2022.2708;Saudi Arabia;Brazil
100;2022.54478;Saudi Arabia;Trinidad and Tobago
101;2021.92974;Saudi Arabia;Greece
102;2022.02149;Greece;Thailand
103;2022.05985;Thailand;India
104;2022.17218;Greece;Ecuador
105;2022.0324500000002;Greece;Philippines
106;2022.36116;Greece;Saint Vincent and the Grenadines
107;2022.3204;Greece;Saint Lucia
108;2022.17428;Greece;Brazil
109;2022.52286;Brazil;Georgia
110;2021.99484;Greece;Denmark
111;2022.0461500000001;Denmark;Mexico
112;2022.45163;Denmark;Germany
113;2022.5064300000001;Denmark;Saint Vincent and the Grenadines
114;2022.1228700000001;Cameroon;Mexico
115;2022.02972;Cameroon;Singapore
116;2021.988;Cameroon;Australia
117;2022.16122;Australia;Bangladesh
118;2022.16122;Cameroon;Cambodia
119;2022.10095;Cameroon;Kenya
120;2022.26402;Cameroon;Senegal
121;2021.9687800000002;Cameroon;Jamaica
122;2022.16396;Jamaica;Indonesia
123;2022.11464;Jamaica;Bulgaria
124;2022.22143;Jamaica;Cabo Verde
125;2022.59958;Cabo Verde;Ecuador
126;2022.41327;Cabo Verde;Estonia
127;2022.1502600000001;Jamaica;Portugal
128;2022.4078;Jamaica;Cyprus
129;2022.24165;Jamaica;Marshall Islands
130;2022.22177;Jamaica;Kenya
131;2022.37248;Kenya;Egypt
132;2022.47903;Egypt;Ukraine
133;2021.9116000000001;Cameroon;Hong Kong
134;2022.04068;Hong Kong;Qatar
135;2022.13109;Hong Kong;Taiwan
136;2022.3639600000001;Hong Kong;Cyprus
137;2022.27943;Hong Kong;China
138;2022.15027;Hong Kong;China
139;2021.81241;Cameroon;Mauritius
140;2022.04067;Mauritius;Australia
141;2021.89826;Mauritius;USA
142;2022.05712;USA;Bahrain
143;2021.99459;Mauritius;Singapore
144;2022.18314;Singapore;Sri Lanka
145;2021.94192;Mauritius;Indonesia
146;2022.04463;Indonesia;Israel
147;2022.55026;Israel;Bangladesh
148;2021.9046600000001;Mauritius;Cambodia
149;2022.1256;Cambodia;India
150;2022.15848;Cambodia;Taiwan
151;2022.04342;Mauritius;Bangladesh
152;2022.07629;Mauritius;Italy
153;2022.10095;Mauritius;Japan
154;2021.88757;Mauritius;Japan
155;2022.0324600000001;Japan;Finland
156;2022.08999;Japan;Bangladesh
157;2022.06807;Japan;Lithuania
158;2022.24615;Japan;Singapore
159;2022.09161;Japan;Thailand
160;2022.12834;Thailand;Myanmar
161;2021.90723;Japan;India
162;2021.9233100000001;India;Guinea
163;2022.03792;Guinea;Maldives
164;2022.1217100000001;Guinea;Mongolia
165;2022.45127;Guinea;Niue
166;2022.05919;Guinea;Vanuatu
167;2022.15298;Guinea;South Korea
168;2022.19133;Guinea;New Zealand
169;2022.11188;Guinea;Cook Islands
170;2022.01873;Guinea;United Arab Emirates
171;2022.27627;United Arab Emirates;New Zealand
172;2022.05709;United Arab Emirates;Kuwait
173;2022.09544;Kuwait;Trinidad and Tobago
174;2022.10914;Kuwait;Maldives
175;2022.15572;Maldives;Thailand
176;2022.32284;Thailand;Lithuania
177;2021.83344;Cameroon;Eswatini
178;2022.17492;Eswatini;Guinea
179;2022.44067;Eswatini;Mauritius
180;2021.89965;Eswatini;Malawi
181;2022.0900000000001;Malawi;Kenya
182;2022.14478;Malawi;Mozambique
