;EventTime;Origin;Destination
0;2021.9939;UNKNOWN;South Africa
1;2022.4602;South Africa;Pakistan
2;2022.4876;South Africa;Canada
3;2022.66568;South Africa;Latvia
4;2022.42311;South Africa;Australia
5;2022.62458;Australia;Papua New Guinea
6;2022.56431;Australia;Solomon Islands
7;2022.24441;South Africa;Germany
8;2022.48485;Germany;Cote d'
9;2022.43554;Germany;Luxembourg
10;2022.54239;Germany;Argentina
11;2022.47937;Germany;Norway
12;2022.43554;Germany;Uganda
13;2022.40214;Germany;Barbados
14;2022.43554;Germany;Hong Kong
15;2022.52595;Hong Kong;United Kingdom
16;2022.40876;Germany;Ireland
17;2022.51773;Ireland;Curacao
18;2022.18675;South Africa;Bermuda
19;2022.45198;Bermuda;Canada
20;2022.4437599999999;Bermuda;Netherlands
21;2022.4191;Bermuda;Bonaire
22;2022.75883;Bermuda;Austria
23;2022.62458;Bermuda;Luxembourg
24;2022.42554;Bermuda;El Salvador
25;2022.49581;Bermuda;Georgia
26;2022.4672;Bermuda;Lebanon
27;2022.59445;Lebanon;Turkey
28;2022.34376;Bermuda;Jamaica
29;2022.40595;Jamaica;Colombia
30;2022.6327999999999;Colombia;Paraguay
31;2022.68211;Colombia;Puerto Rico
32;2022.60539;Colombia;Liechtenstein
33;2022.24967;Bermuda;Guatemala
34;2022.4602;Guatemala;Qatar
35;2022.39885;Guatemala;Iran
36;2022.62459;Iran;Poland
37;2022.35066;Guatemala;Micronesia
38;2022.5478699999999;Micronesia;New Zealand
39;2022.7560899999999;Micronesia;Iceland
40;2022.4876;Guatemala;Trinidad and Tobago
41;2022.55335;Guatemala;Venezuela
42;2022.39131;Guatemala;El Salvador
43;2022.54239;South Africa;Pakistan
44;2022.43281;South Africa;Eswatini
45;2022.3103899999999;South Africa;Turkey
46;2022.35716;Turkey;Switzerland
47;2022.51226;Switzerland;Costa Rica
48;2022.70951;Switzerland;Italy
49;2022.4958199999999;Switzerland;Luxembourg
50;2022.32467;South Africa;Malawi
51;2022.50404;Malawi;Austria
52;2022.63007;Austria;Cabo Verde
53;2022.66842;Malawi;Guinea
54;2022.5095099999999;South Africa;Uganda
55;2022.62732;Uganda;Eswatini
