;EventTime;Origin;Destination
0;2022.5472;UNKNOWN;India
1;2022.83115;India;Guinea
2;2023.29544;India;Luxembourg
3;2023.2835;India;Guatemala
4;2022.90849;India;Israel
5;2023.42968;Israel;Albania
6;2023.004;India;Sudan
7;2023.27636;Sudan;Uganda
8;2023.15572;India;Australia
9;2022.88583;India;Lithuania
10;2023.05281;Lithuania;Singapore
11;2023.39407;Singapore;Brunei
12;2023.39134;Lithuania;Portugal
13;2022.90345;India;Austria
14;2023.4516;Austria;Portugal
15;2023.26413;Austria;Cabo Verde
16;2023.12558;India;Pakistan
17;2022.86828;India;Malaysia
18;2023.34476;Malaysia;Hong Kong
19;2022.98862;Malaysia;Taiwan
20;2023.3475;Taiwan;Japan
21;2023.079;India;Indonesia
22;2022.88324;India;Thailand
23;2023.4653;Thailand;Ukraine
24;2023.43243;Thailand;Israel
25;2023.06963;Thailand;Bahrain
26;2023.15297;Thailand;Iceland
27;2023.44886;Thailand;Israel
28;2023.41873;Thailand;South Korea
29;2023.22695;Thailand;Malaysia
30;2023.42695;Thailand;Brunei
31;2023.28174;Thailand;Kuwait
32;2023.26804;India;Oman
33;2022.97915;India;Serbia
34;2022.92458;India;Guinea
35;2023.3338;India;Italy
36;2023.15571;India;Kenya
37;2022.98358;India;Russia
38;2023.42695;Russia;Albania
39;2023.28722;Russia;Singapore
40;2023.34476;Russia;South Korea
41;2023.41599;Russia;Thailand
42;2023.42421;Russia;Finland
43;2022.86879;India;Indonesia
44;2023.33655;India;Mauritius
45;2023.31737;India;Thailand
46;2023.28175;India;Kuwait
47;2023.27767;India;Italy
48;2023.42148;Italy;Spain
49;2022.94287;India;Pakistan
50;2023.45984;Pakistan;Austria
51;2023.30641;Pakistan;Japan
52;2023.17491;Pakistan;Japan
53;2023.45984;Pakistan;Austria
54;2023.17491;Pakistan;Greece
55;2023.19957;Greece;United Kingdom
56;2023.38587;Pakistan;Russia
57;2023.32833;Pakistan;Singapore
58;2023.0576;Pakistan;Australia
59;2023.14751;Australia;Iran
60;2023.11056;Australia;Canada
61;2023.32559;Canada;Iceland
62;2023.13977;Canada;Sweden
63;2023.33929;Sweden;Chile
64;2023.25162;Sweden;China
65;2023.32832;India;Albania
66;2023.1837;India;Switzerland
67;2023.29271;Switzerland;South Korea
68;2023.12558;India;Kenya
69;2022.91666;India;Mauritius
70;2023.38038;Mauritius;Russia
